frame,time_s,protocol,info,wpan_cmd,wpan_src64,wpan_dst64,wpan_src16,wpan_dst16,wpan_association_short,nwk_src,nwk_dst,nwk_src64,nwk_dst64,nwk_security,security_key_id,security_src64,decryption_key_label,aps_type,aps_src_ep,aps_dst_ep,aps_cluster,aps_profile,aps_cmd_id,aps_cmd_key_type,aps_cmd_device,zcl_mfg_code,zcl_tsn,zcl_cmd_id,zcl_rsp_to_cmd,zcl_attr_id,zcl_attr_status,zcl_attr_type,zcl_attr_uint8,zcl_attr_uint16,zcl_attr_uint24,zcl_attr_uint32,zcl_attr_bitmap8,zcl_attr_bitmap16,zcl_attr_bitmap32,zcl_attr_str,zcl_attr_ostr,zcl_attr_bytes
27,3.321799000,,,,,,0x92fc,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:08:2e:e1:e3,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
28,3.325781000,,,,,,0xdf07,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0d:4d:b3:57,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
29,3.328132000,,,,,,0x0003,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0b:b1:f1:14,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
30,3.332724000,,,,,,0x975c,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0d:23:92:b1,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
31,3.334891000,,,,,,0x9a1a,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:08:32:cb:1f,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
32,3.337997000,,,,,,0xd52f,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:08:32:bb:4f,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
33,3.340502000,,,,,,0x3fc2,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0c:4c:95:ce,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
34,3.344131000,,,,,,0x8256,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0b:bc:32:cd,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
35,3.347568000,,,,,,0x5ab9,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0d:40:7d:92,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
36,3.349679000,,,,,,0x09de,0xffff,,0x0001,0xfffc,,,True,0x01,00:17:88:01:0c:b9:2f:63,HUE_ZIGBEE_NWK_KEY,0x00,0,0,,0x0000,,,,,,,,,,,,,,,,,,,,
37,3.442241000,,,,,,0xb733,0xffff,,0xb733,0xfffc,00:17:88:01:0b:e5:1c:99,,True,0x01,00:17:88:01:0b:e5:1c:99,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
38,3.641587000,,,,,,0x0c67,0xffff,,0x0c67,0xfffc,00:17:88:01:0e:10:a0:98,,True,0x01,00:17:88:01:0e:10:a0:98,HUE_ZIGBEE_NWK_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.680099000,,,0x04,,,0x2d0e,0x09de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.680640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
