index,ts_us,length,channel,rssi,lqi,frame_type,seq,security,ack_request,pan_compression,dest_pan,dest_addr,src_pan,src_addr,payload_len,markers,parse_note
5171,104774733,3,25,-60,9,ack,43,False,False,False,,,,,0,,
5172,104784262,114,25,-60,9,data,112,False,True,True,0xfb2f,0x0001,0xfb2f,0x0c67,105,signify_oui_reversed,
5173,104784805,3,25,-101,6,ack,112,False,False,False,,,,,0,,
5174,104810456,45,25,-98,7,data,83,False,True,True,0xfb2f,0x0c67,0xfb2f,0x0001,36,signify_oui_reversed,
5175,104810997,3,25,-60,10,ack,83,False,False,False,,,,,0,,
5176,104817512,45,25,-59,9,data,113,False,True,True,0xfb2f,0xd22a,0xfb2f,0x0c67,36,signify_oui_reversed,
5177,104818055,3,25,-107,3,ack,113,False,False,False,,,,,0,,
5178,104875371,3,25,-59,9,ack,44,False,False,False,,,,,0,,
5179,104883050,92,25,-60,10,data,114,False,True,True,0xfb2f,0x0001,0xfb2f,0x0c67,83,signify_oui_reversed,
5180,104883593,3,25,-101,8,ack,114,False,False,False,,,,,0,,
5181,104905186,45,25,-106,6,data,84,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5182,104905728,3,25,-102,5,ack,84,False,False,False,,,,,0,,
5183,104910771,45,25,-103,5,data,170,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5184,104911312,3,25,-89,9,ack,170,False,False,False,,,,,0,,
5185,104969034,114,25,-90,10,data,226,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5186,104969575,3,25,-102,8,ack,226,False,False,False,,,,,0,,
5187,104978355,114,25,-97,8,data,206,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5188,104978898,3,25,-106,6,ack,206,False,False,False,,,,,0,,
5189,104999727,45,25,-100,5,data,85,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5190,105000268,3,25,-100,6,ack,85,False,False,False,,,,,0,,
5191,105006563,45,25,-100,6,data,171,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5192,105007105,3,25,-90,9,ack,171,False,False,False,,,,,0,,
5193,105044026,123,25,-59,9,data,115,False,False,True,0xfb2f,0xffff,0xfb2f,0x0c67,114,signify_oui_reversed,
5194,105065352,114,25,-89,10,data,227,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5195,105065893,3,25,-100,8,ack,227,False,False,False,,,,,0,,
5196,105073091,114,25,-100,8,data,207,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5197,105073635,3,25,-107,6,ack,207,False,False,False,,,,,0,,
5198,105097859,45,25,-99,7,data,86,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5199,105098400,3,25,-108,5,ack,86,False,False,False,,,,,0,,
5200,105105373,45,25,-101,4,data,172,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5201,105105914,3,25,-89,10,ack,172,False,False,False,,,,,0,,
5202,105162839,114,25,-91,9,data,228,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5203,105163381,3,25,-100,7,ack,228,False,False,False,,,,,0,,
5204,105171288,114,25,-101,7,data,208,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5205,105171831,3,25,-101,7,ack,208,False,False,False,,,,,0,,
5206,105193926,45,25,-102,7,data,87,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5207,105194468,3,25,-104,5,ack,87,False,False,False,,,,,0,,
5208,105199537,45,25,-103,5,data,173,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5209,105200078,3,25,-92,9,ack,173,False,False,False,,,,,0,,
5210,105257392,114,25,-90,8,data,229,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5211,105257933,3,25,-107,7,ack,229,False,False,False,,,,,0,,
5212,105266463,114,25,-102,7,data,209,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5213,105267007,3,25,-101,6,ack,209,False,False,False,,,,,0,,
5214,105290361,45,25,-105,6,data,88,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5215,105290903,3,25,-101,7,ack,88,False,False,False,,,,,0,,
5216,105297481,45,25,-101,5,data,174,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5217,105298022,3,25,-90,10,ack,174,False,False,False,,,,,0,,
5218,105356414,114,25,-88,10,data,230,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5219,105356957,3,25,-101,9,ack,230,False,False,False,,,,,0,,
5220,105366031,114,25,-102,7,data,210,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5221,105366574,3,25,-102,8,ack,210,False,False,False,,,,,0,,
5222,105388298,45,25,-103,6,data,89,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5223,105388839,3,25,-104,7,ack,89,False,False,False,,,,,0,,
5224,105395064,45,25,-104,5,data,175,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5225,105395606,3,25,-88,9,ack,175,False,False,False,,,,,0,,
5226,105435839,3,25,-107,6,ack,194,False,False,False,,,,,0,,
5227,105452626,114,25,-88,9,data,231,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5228,105453167,3,25,-105,8,ack,231,False,False,False,,,,,0,,
5229,105461319,114,25,-98,6,data,211,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5230,105461862,3,25,-104,7,ack,211,False,False,False,,,,,0,,
5231,105465657,50,25,-102,6,data,90,False,True,True,0xfb2f,0xaed9,0xfb2f,0x0001,41,signify_oui_reversed,
5232,105488825,45,25,-104,7,data,91,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5233,105489366,3,25,-110,4,ack,91,False,False,False,,,,,0,,
5234,105496001,45,25,-103,6,data,176,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5235,105496542,3,25,-87,9,ack,176,False,False,False,,,,,0,,
5236,105554236,114,25,-87,9,data,232,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5237,105554777,3,25,-99,7,ack,232,False,False,False,,,,,0,,
5238,105562503,114,25,-102,5,data,212,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5239,105563046,3,25,-102,6,ack,212,False,False,False,,,,,0,,
5240,105586087,45,25,-97,8,data,92,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5241,105586628,3,25,-103,6,ack,92,False,False,False,,,,,0,,
5242,105591675,45,25,-105,6,data,177,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5243,105592216,3,25,-85,9,ack,177,False,False,False,,,,,0,,
5244,105636878,10,25,-82,9,mac_cmd,175,False,True,True,0xfb2f,0x9a1a,0xfb2f,0xda27,1,,
5245,105637420,3,25,-73,8,ack,175,False,False,False,,,,,0,,
5246,105649742,114,25,-85,9,data,233,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5247,105650284,3,25,-107,7,ack,233,False,False,False,,,,,0,,
5248,105658663,114,25,-102,5,data,213,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5249,105659206,3,25,-101,8,ack,213,False,False,False,,,,,0,,
5250,105682264,45,25,-106,6,data,93,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5251,105682805,3,25,-100,6,ack,93,False,False,False,,,,,0,,
5252,105689408,45,25,-103,7,data,178,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5253,105689950,3,25,-87,9,ack,178,False,False,False,,,,,0,,
5254,105747873,114,25,-87,9,data,234,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5255,105748414,3,25,-99,7,ack,234,False,False,False,,,,,0,,
5256,105756633,114,25,-104,5,data,214,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5257,105757176,3,25,-104,5,ack,214,False,False,False,,,,,0,,
5258,105781022,45,25,-103,6,data,94,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5259,105781563,3,25,-105,6,ack,94,False,False,False,,,,,0,,
5260,105786980,45,25,-101,7,data,179,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5261,105787522,3,25,-88,9,ack,179,False,False,False,,,,,0,,
5262,105790820,45,25,-105,7,data,179,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5263,105791361,3,25,-87,9,ack,179,False,False,False,,,,,0,,
5264,105811409,47,25,-103,6,data,95,False,True,True,0xfb2f,0xaed9,0xfb2f,0x0001,38,signify_oui_reversed,
5265,105819258,3,25,-89,10,ack,195,False,False,False,,,,,0,,
5266,105831979,10,25,-95,8,mac_cmd,236,False,True,True,0xfb2f,0x975c,0xfb2f,0x31cb,1,,
5267,105846633,114,25,-86,10,data,235,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5268,105847176,3,25,-106,8,ack,235,False,False,False,,,,,0,,
5269,105855627,114,25,-103,7,data,215,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5270,105856170,3,25,-102,4,ack,215,False,False,False,,,,,0,,
5271,105873196,56,25,-90,9,data,195,False,True,True,0xfb2f,0x55b8,0xfb2f,0x0003,47,signify_oui_reversed,
5272,105873738,3,25,-103,0,ack,195,False,False,False,,,,,0,,
5273,105884941,45,25,-103,4,data,96,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5274,105885483,3,25,-102,6,ack,96,False,False,False,,,,,0,,
5275,105888710,3,25,-99,6,ack,199,False,False,False,,,,,0,,
5276,105892308,45,25,-101,5,data,180,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5277,105892849,3,25,-86,9,ack,180,False,False,False,,,,,0,,
5278,105897623,45,25,-102,7,data,180,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
5279,105898165,3,25,-87,8,ack,180,False,False,False,,,,,0,,
5280,105902796,3,25,-90,10,ack,14,False,False,False,,,,,0,,
5281,105950209,114,25,-86,8,data,236,False,True,True,0xfb2f,0x30ae,0xfb2f,0xed3c,105,signify_oui_reversed,
5282,105950750,3,25,-101,8,ack,236,False,False,False,,,,,0,,
5283,105959113,114,25,-103,7,data,216,False,True,True,0xfb2f,0x0001,0xfb2f,0x30ae,105,signify_oui_reversed,
5284,105959656,3,25,-104,6,ack,216,False,False,False,,,,,0,,
5285,105980671,45,25,-104,6,data,97,False,True,True,0xfb2f,0x37ca,0xfb2f,0x0001,36,signify_oui_reversed,
5286,105981212,3,25,-99,6,ack,97,False,False,False,,,,,0,,
5287,105986138,45,25,-102,6,data,181,False,True,True,0xfb2f,0xed3c,0xfb2f,0x37ca,36,signify_oui_reversed,
